ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
5849,0.0,102.0,1.0,2,1
4583,1508.0,128.0,1.0,0,0
3000,0.0,66.0,1.0,2,1
2583,2358.0,120.0,1.0,2,1
6000,0.0,141.0,1.0,2,1
5417,4196.0,120.0,1.0,2,1
2333,1516.0,95.0,1.0,2,1
3036,2504.0,158.0,0.0,1,0
4006,1526.0,168.0,1.0,2,1
3598,1558.5,120.0,1.0,1,0
3200,700.0,70.0,1.0,2,1
2500,1840.0,109.0,1.0,2,1
3073,8106.0,200.0,1.0,2,1
1853,2840.0,114.0,1.0,0,0
1299,1086.0,17.0,1.0,2,1
4950,0.0,125.0,1.0,2,1
3596,0.0,100.0,0.0,2,1
3510,0.0,76.0,0.0,2,0
4887,0.0,133.0,1.0,0,0
2600,3500.0,115.0,1.0,2,1
7660,0.0,104.0,0.0,2,0
5955,5625.0,120.0,1.0,2,1
2600,1911.0,116.0,0.0,1,0
3365,1917.0,112.0,0.0,0,0
3717,2925.0,151.0,0.0,1,0
3598,0.0,191.0,1.0,1,1
2799,2253.0,122.0,1.0,1,1
4226,1040.0,110.0,1.0,2,1
1442,0.0,35.0,1.0,2,0
3750,2083.0,120.0,1.0,1,1
4166,3369.0,201.0,0.0,2,0
3167,0.0,74.0,1.0,2,0
4692,0.0,106.0,1.0,0,0
3500,1667.0,114.0,1.0,1,1
3598,3000.0,120.0,1.0,0,0
2275,2067.0,173.0,1.0,2,1
1828,1330.0,100.0,0.0,2,0
3667,1459.0,144.0,1.0,1,1
4166,7210.0,184.0,1.0,2,1
3748,1668.0,110.0,1.0,1,1
3600,0.0,80.0,1.0,2,0
1800,1213.0,47.0,1.0,2,1
2400,0.0,75.0,0.0,2,1
3941,2336.0,134.0,1.0,1,1
4695,0.0,96.0,1.0,2,1
3410,0.0,88.0,1.0,2,1
5649,0.0,44.0,1.0,2,1
5821,0.0,144.0,1.0,2,1
2645,3440.0,120.0,0.0,2,0
4000,2275.0,144.0,1.0,1,1
1928,1644.0,100.0,1.0,1,1
3086,0.0,120.0,1.0,1,1
4230,0.0,112.0,1.0,1,0
4616,0.0,134.0,1.0,2,0
3598,0.0,120.0,0.0,2,0
2708,1167.0,97.0,1.0,1,1
2132,1591.0,96.0,1.0,1,1
3366,2200.0,135.0,1.0,0,0
3598,2250.0,180.0,1.0,2,1
3357,2859.0,144.0,1.0,2,1
2500,3796.0,120.0,1.0,2,1
3029,0.0,99.0,1.0,2,1
2609,3449.0,165.0,0.0,0,0
4945,0.0,170.0,0.0,0,0
4166,0.0,116.0,0.0,1,0
5726,4595.0,120.0,1.0,1,0
3200,2254.0,126.0,0.0,2,0
3598,0.0,120.0,1.0,2,1
7100,0.0,125.0,1.0,2,1
4300,0.0,136.0,0.0,1,0
3208,3066.0,172.0,1.0,2,1
1875,1875.0,97.0,1.0,1,1
3500,0.0,81.0,1.0,1,1
4755,0.0,95.0,0.0,1,0
5266,1774.0,187.0,1.0,1,1
3750,0.0,113.0,1.0,2,0
3750,4750.0,176.0,1.0,2,0
1000,3022.0,110.0,1.0,2,0
3167,4000.0,180.0,0.0,1,0
3333,2166.0,130.0,0.0,1,1
3846,0.0,111.0,1.0,1,1
2395,0.0,118.0,1.0,1,1
1378,1881.0,167.0,1.0,2,0
6000,2250.0,120.0,0.0,1,0
3988,0.0,50.0,1.0,2,1
2366,2531.0,136.0,1.0,1,1
3333,2000.0,99.0,0.0,1,1
2500,2118.0,104.0,1.0,1,1
3598,0.0,210.0,1.0,2,1
5695,4167.0,175.0,1.0,1,1
2958,2900.0,131.0,1.0,1,1
6250,5654.0,188.0,1.0,1,1
3273,1820.0,81.0,1.0,2,1
4133,0.0,122.0,1.0,1,1
3620,0.0,25.0,1.0,1,1
6782,0.0,110.0,0.0,2,0
2484,2302.0,137.0,1.0,1,1
1977,997.0,50.0,1.0,1,1
4188,0.0,115.0,1.0,1,1
1759,3541.0,131.0,1.0,1,1
